closingDate,contractSize,contractLength,contractID,paymentDate
2013/01/01,70.0,2,DKU-87jss3-0001,2013/04/13
2013/01/02,55.0,2,DKU-cwcx12-0001,2013/04/15
2013/01/02,95.0,1,DKU-xk6z56-0001,2013/05/11
2013/01/02,50.0,1,DKU-thkqgj-0001,2013/04/08
2013/01/02,50.0,1,DKU-ro3guq-0001,2013/03/16
2013/01/03,50.0,1,DKU-fxl9dn-0001,2013/03/09
2013/01/03,260.0,2,DKU-mn8k3f-0001,2013/05/04
2013/01/03,60.0,2,DKU-b96ub9-0001,2013/04/10
2013/01/03,155.0,2,DKU-kofsjn-0001,2013/04/29
2013/01/04,120.0,2,DKU-ta2zpc-0001,2013/04/27
2013/01/05,65.0,1,DKU-lui59w-0001,2013/04/11
2013/01/05,125.0,2,DKU-a3sg85-0001,2013/03/31
2013/01/05,75.0,3,DKU-riowa6-0001,2013/04/12
2013/01/06,50.0,1,DKU-hs6b5u-0001,2013/04/28
2013/01/06,55.0,1,DKU-njkl1q-0001,2013/03/18
2013/01/06,250.0,3,DKU-05oxs3-0001,2013/03/24
2013/01/06,85.0,1,DKU-ybrfen-0001,2013/04/21
2013/01/07,135.0,1,DKU-yogrys-0001,2013/03/31
2013/01/07,50.0,2,DKU-26bfak-0001,2013/04/08
2013/01/07,50.0,1,DKU-rhi8gk-0001,2013/05/05
2013/01/09,55.0,1,DKU-w3jx0z-0001,2013/04/10
2013/01/09,70.0,1,DKU-gslvxq-0001,2013/05/01
2013/01/12,75.0,1,DKU-egq5je-0001,2013/05/09
2013/01/13,95.0,1,DKU-oikvot-0001,2013/03/28
2013/01/13,85.0,2,DKU-reta0q-0001,2013/05/03
2013/01/14,145.0,2,DKU-dlhaqp-0001,2013/03/27
2013/01/15,95.0,3,DKU-5empta-0001,2013/06/04
2013/01/15,65.0,1,DKU-17ltoz-0001,2013/04/07
2013/01/15,100.0,2,DKU-0quoqw-0001,2013/04/27
2013/01/15,50.0,3,DKU-j1e5jf-0001,2013/04/15
